Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6242.299805,6242.299805,6071.000000,6093.399902,6093.399902,686232700
2016-01-05,6093.399902,6166.299805,6079.200195,6137.200195,6137.200195,624070800
2016-01-06,6137.200195,6137.200195,6018.700195,6073.399902,6073.399902,699957700
2016-01-07,6073.399902,6073.399902,5888.000000,5954.100098,5954.100098,1054315500
2016-01-08,5954.100098,6013.399902,5912.399902,5912.399902,5912.399902,809964200
2016-01-11,5912.399902,5941.899902,5871.799805,5871.799805,5871.799805,817313600
2016-01-12,5871.799805,5985.799805,5866.700195,5929.200195,5929.200195,806737100
2016-01-13,5929.200195,6011.100098,5929.200195,5961.000000,5961.000000,809502200
2016-01-14,5961.000000,5961.000000,5829.299805,5918.200195,5918.200195,1067078800
2016-01-15,5918.200195,5934.600098,5769.200195,5804.100098,5804.100098,1084338100
2016-01-18,5804.100098,5852.100098,5766.500000,5779.899902,5779.899902,718879400
2016-01-19,5779.899902,5915.700195,5779.899902,5876.799805,5876.799805,808697900
2016-01-20,5876.799805,5876.799805,5639.899902,5673.600098,5673.600098,1035052400
2016-01-21,5673.600098,5781.200195,5659.200195,5773.799805,5773.799805,1089335700
2016-01-22,5773.799805,5926.899902,5773.799805,5900.000000,5900.000000,879968100
2016-01-25,5900.000000,5933.500000,5851.799805,5877.000000,5877.000000,803777200
2016-01-26,5877.000000,5919.200195,5771.399902,5911.500000,5911.500000,852296000
2016-01-27,5911.500000,5990.399902,5870.799805,5990.399902,5990.399902,875026000
2016-01-28,5990.399902,6020.500000,5889.399902,5931.799805,5931.799805,892436800
2016-01-29,5931.799805,6083.799805,5931.799805,6083.799805,6083.799805,988153400
2016-02-01,6083.799805,6115.100098,5993.799805,6060.100098,6060.100098,808643200
2016-02-02,6060.100098,6060.500000,5889.600098,5922.000000,5922.000000,986962800
2016-02-03,5922.000000,5924.600098,5791.000000,5837.100098,5837.100098,996202200
2016-02-04,5837.100098,5938.100098,5831.100098,5898.799805,5898.799805,1021666600
2016-02-05,5898.799805,5945.899902,5839.399902,5848.100098,5848.100098,954158300
2016-02-08,5848.100098,5882.399902,5666.100098,5689.399902,5689.399902,995838800
2016-02-09,5689.399902,5739.299805,5596.299805,5632.200195,5632.200195,1146904600
2016-02-10,5632.200195,5712.799805,5616.899902,5672.299805,5672.299805,994634100
2016-02-11,5672.299805,5672.299805,5499.500000,5537.000000,5537.000000,1068310100
2016-02-12,5537.000000,5707.600098,5537.000000,5707.600098,5707.600098,1083597100
2016-02-15,5707.600098,5844.500000,5707.600098,5824.299805,5824.299805,724655800
2016-02-16,5824.299805,5880.700195,5812.500000,5862.200195,5862.200195,771095900
2016-02-17,5862.200195,6030.299805,5862.200195,6030.299805,6030.299805,948753000
2016-02-18,6030.299805,6036.500000,5948.299805,5972.000000,5972.000000,809867000
2016-02-19,5972.000000,6001.200195,5916.299805,5950.200195,5950.200195,692901300
2016-02-22,5950.200195,6065.799805,5950.200195,6037.700195,6037.700195,822107000
2016-02-23,6037.700195,6037.700195,5954.200195,5962.299805,5962.299805,747386200
2016-02-24,5962.299805,5966.700195,5845.600098,5867.200195,5867.200195,834682500
2016-02-25,5867.200195,6029.000000,5867.200195,6012.799805,6012.799805,999956900
2016-02-26,6012.799805,6115.399902,6012.799805,6096.000000,6096.000000,858937600
2016-02-29,6096.000000,6105.000000,6033.200195,6097.100098,6097.100098,941705500
2016-03-01,6097.100098,6153.799805,6070.500000,6152.899902,6152.899902,933626200
2016-03-02,6152.899902,6194.000000,6097.799805,6147.100098,6147.100098,904552300
2016-03-03,6147.100098,6173.700195,6108.399902,6130.500000,6130.500000,902840400
2016-03-04,6130.500000,6204.100098,6130.500000,6199.399902,6199.399902,866051300
2016-03-07,6199.399902,6216.100098,6125.600098,6182.399902,6182.399902,817955900
2016-03-08,6182.399902,6182.500000,6101.899902,6125.399902,6125.399902,913517000
2016-03-09,6125.399902,6174.799805,6118.200195,6146.299805,6146.299805,758331300
2016-03-10,6146.299805,6203.399902,6036.700195,6036.700195,6036.700195,1056246900
2016-03-11,6036.700195,6150.899902,6036.700195,6139.799805,6139.799805,721703700
2016-03-14,6139.799805,6197.799805,6139.799805,6174.600098,6174.600098,688585100
